,Capital Statement 2024–25,,,,
"Program Highlights (Property, Plant and Equipment)",,,,,
●,$3.3 million for upgrades to laboratory equipment to support drug testing services.,,,,
●,"$650,000 for system customisation of the Registration and Licensing Environment (RandLE).",,,,
,Agriculture and Fisheries,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
,Project,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
DEPARTMENT OF AGRICULTURE AND FISHERIES,,,,,
"Property, Plant and Equipment",,,,,
Assets formerly held by Queensland,308,"5,850","1,621","3,984",245
Agricultural Training Colleges,,,,,
Gatton Smart Farm,317,"2,000",642,"1,358",
Minor works,Various,,,422,Ongoing
Heavy plant and equipment,Various,,,"2,048",Ongoing
"Other property, plant and equipment",Various,,,892,Ongoing
Computer equipment,Various,,,"5,077",Ongoing
Vessels and marine equipment,Various,,,257,Ongoing
Scientific equipment,Various,,,"1,680",Ongoing
Research facilities development,Various,,,216,Ongoing
Longreach Office Upgrade,315,"1,756","1,616",140,
Wild Dog Barrier Fence,307,,,"1,610",Ongoing
Gatton Research Facility Fire Hydrant Upgrade,317,650,,650,
Maroochy Research Facility Fire Hydrant Water,316,354,108,246,
Mains Upgrade,,,,,
Aquaculture Transformation,313,965,,965,
Brands Information System Replacement,305,"1,566",298,"1,268",
Climate Initiative Program,Various,"3,000",,"1,000","2,000"
Tor Street Toowoomba Office Upgrade,317,250,,250,
Tor Street Toowoomba Carbon Dioxide and,317,534,267,267,
Methane Isotopic Analyser,,,,,
Health and Food Science Precinct Steriliser,303,400,21,379,
Replacement,,,,,
Hermitage Research Facility High Voltage,307,769,,769,
Electrical System,,,,,
Electric Vehicle Infrastructure Installation,Various,750,350,400,
Yeppoon Rigid Hull Inflatable Boat,308,344,,344,
Infrastructure for the Building Resilience to,301,"4,700","1,500","3,200",
Manage Fruit Fly Project,,,,,
Patrol Vessel Flinders Half Life Refit,306,700,,700,
,29,,,,
Capital Statement 2024–25,,,,,
Agriculture and Fisheries,,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
Kingaroy Research Facility Precision Plot,319,300,,300,
Planter,,,,,
"Total Property, Plant and Equipment",,,"28,421",,
Capital Grants,,,,,
Young Animal Protection Society upgrade,306,"1,000",900,100,
Total Capital Grants,,,,100,
QUEENSLAND RACING INTEGRITY COMMISSION,,,,,
"Property, Plant and Equipment",,,,,
Racing Science Centre laboratory technology,305,,"3,250",Ongoing,
upgrades,,,,,
Other asset replacement,Various,,,97,Ongoing
Registration and licensing environment,Various,"4,629","3,979",650,
"Total Property, Plant and Equipment",,,"3,997",,
TOTAL AGRICULTURE AND FISHERIES (PPE),,,"32,418",,
TOTAL AGRICULTURE AND FISHERIES (CG),,,,100,
,30,,,,
,Capital Statement 2024–25
3.2,"CHILD SAFETY, SENIORS AND DISABILITY"
SERVICES,
"Child Safety, Seniors and Disability Services",
"The total capital outlay for the Department of Child Safety, Seniors and Disability Services is",
$28.9 million in 2024-25.,
Total capital purchases for the portfolio are $21.0 million.These funds provide the infrastructure,
"and systems to support our vision for Queensland's children, young people, seniors, carers and",
"people with disability and people from culturally and linguistically diverse backgrounds to be safe,",
"empowered in their families, communities and culture and thriving socially and economically.",
Total capital grants for the portfolio are $7.9 million. These funds include a grant to AEIOU,
"Foundation for infrastructure projects, contributions to the establishment of a Holocaust Museum",
and Education Centre and a grant to BestLife Incorporated for the Helena’s House project.,
"Program highlights (Property, Plant and Equipment)",
●,$7.4 million to enhance and develop information systems and programs to provide additional
,"system functionality, information security and contemporary technology to improve service"
,"delivery, including a continuous improvement pipeline for the Unify program."
●,"$5.5 million for Child and Family Services facilities, including fit out and upgrade of Child"
,Safety service centres and office accommodation.
●,$4.1 million in 2024-25 of a total $4.7 million to complete major repairs and upgrade works at
,Forensic Disability Services House 2 to ensure optimal service capacity can be achieved.
●,"$2.1 million for Disability Services facilities including upgrade, improvement and modification"
,of accommodation facilities for Disability Services clients and fit out of office accommodation
●,$1.9 million in 2024-25 of a total $90.3 million to finalise and complete Tranche 1 of Unify
,(Integrated Client Management System (ICMS) Replacement Program).
Program highlights (Capital Grants),
●,$6 million in 2024-25 of a total $6.5 million capital grant to AEIOU Foundation as a
,contribution to provide infrastructure projects to support increased demand for children with
,autism requiring early intervention.
●,$1.6 million in 2024-25 of a total of $2 million contribution to BestLife Incorporated for the
,Helena’s House project to support the safe transition of young people with a disability from
,the family home to a living solution of their choice.
●,"$390,000 in 2024-25 of a total $3.5 million contribution to establish a Holocaust Museum and"
,Education Centre in Brisbane to honour victims of the Holocaust and support students and
,the broader community to explore and understand the impact of racism.
,31
Capital Statement 2024–25,,,,,
"Child Safety, Seniors and Disability Services",,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
"DEPARTMENT OF CHILD SAFETY, SENIORS AND DISABILITY SERVICES",,,,,
"Property, Plant and Equipment",,,,,
Information Systems and Technology,,,,,
Unify (Integrated Client Management System,Various,"90,259","88,377","1,882",
replacement) Program,,,,,
Information system enhancements,Various,,,"7,368",Ongoing
Sub-total Information Systems and Technology,,,,"9,250",
Child and Family Services,,,,,
Child and Family Services facilities,Various,,,"5,510",Ongoing
Sub-total Child and Family Services,,,,"5,510",
Disability Services,,,,,
Forensic Disability Services House 2 major,310,"4,670",608,"4,062",
repairs and upgrade works,,,,,
Disability Services facilities,Various,,,"2,130",Ongoing
Sub-total Disability Services,,,,"6,192",
"Total Property, Plant and Equipment",,,,"20,952",
Capital Grants,,,,,
Disability Services,,,,,
AEIOU Foundation - Infrastructure Projects,Various,"6,500",,"6,000",500
Helena's House,303,"2,000",450,"1,550",
Multicultural Affairs,,,,,
Holocaust Museum,305,"3,500","3,110",390,
Total Capital Grants,,,,"7,940",
"TOTAL CHILD SAFETY, SENIORS AND DISABILITY SERVICES (PPE)",,,,"20,952",
"TOTAL CHILD SAFETY, SENIORS AND DISABILITY SERVICES (CG)",,,,"7,940",
,32,,,,
,Capital Statement 2024–25,,,,
3.3,EDUCATION,,,,
Total capital purchases for the Education portfolio (including the Department of Education and,,,,,
related entities) are $1.276 billion in 2024-25. Total capital grants for the portfolio are,,,,,
$137.9 million in 2024-25.,,,,,
Department of Education,,,,,
The 2024-25 capital purchases of $1.274 billion includes $1.192 billion for the construction and,,,,,
refurbishment of school educational facilities and early childhood education and care services.,,,,,
Capital works planning targets government priorities through consideration of population growth,,,,,
"and shifts, changes in educational needs and addressing high priority needs for student and staff",,,,,
health and safety.,,,,,
"Program Highlights (Property, Plant and Equipment)",,,,,
●,$342.2 million for the provision of additional facilities at existing state schools experiencing,,,,
,faster enrolment growth.,,,,
●,$273.2 million to replace and enhance facilities at existing schools; including $144.8 million,,,,
,for critical infrastructure upgrades to create contemporary learning environments as part of,,,,
,"the Special School Renewal, Contemporary Specialist Spaces and Discrete Indigenous",,,,
,Community Renewal programs.,,,,
●,$166.6 million for the Building Future Schools Program to deliver world-class learning,,,,
,environments for students.,,,,
●,"$144.2 million as part of the strategic land acquisition fund, to acquire land for future new",,,,
,and expanded schools.,,,,
●,$117 million as part of the School Halls Program to boost education infrastructure investment,,,,
,across Queensland.,,,,
Program Highlights (Capital Grants),,,,,
●,$137.9 million is provided for the non-state schooling sector and student hostels.,,,,
Queensland Curriculum and Assessment Authority,,,,,
The Authority's capital program of $1.2 million for 2024-25 includes enhancements to software,,,,,
"applications that support the delivery of high-quality curriculum, assessment and reporting",,,,,
services to Queensland schools and teachers.,,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
,Project,,,,
,,Cost,30-06-24,,
,$'000,$'000,$'000,$'000,
DEPARTMENT OF EDUCATION,,,,,
"Property, Plant and Equipment",,,,,
Capital Works Program,,,,,
Aitkenvale State School - Refurbish learning,318,387,34,353,
,space,,,,
,33,,,,
Capital Statement 2024–25,,,,,
Education,,,,,
Statistical,,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
Annandale State School - Refurbish learning,318,559,24,535,
space,,,,,
Barambah Environmental Education Centre -,319,275,,275,
Upgrade water reticulation,,,,,
Beechmont State School - Amenities,309,480,,480,
upgrades,,,,,
Biggenden State School - Amenities,319,600,,600,
upgrades,,,,,
Blackwater State High School - Amenities,308,600,,600,
upgrades,,,,,
Bray Park State High School - Additional,314,"20,580","1,935","14,965","3,680"
classrooms,,,,,
Bremer State High School - Additional,310,"9,647","2,914","4,408","2,325"
specialist classrooms,,,,,
Buddina State School - Security fence,316,930,,930,
Burnside State High School - New hall facility,316,"15,657","8,849","5,008","1,800"
Bwgcolman Community School -,318,"8,802","4,405","2,304","2,093"
Administration upgrades,,,,,
Bwgcolman Community School - New home,318,"7,740","3,070","4,670",
economics building,,,,,
Cavendish Road State High School - Site,303,420,,420,
renewal,,,,,
Charters Towers Central State School -,318,430,43,387,
Refurbish learning space,,,,,
Charters Towers State High School -,318,430,43,387,
Upgrade sports courts,,,,,
Claremont Special School - Additional,310,"22,264","2,338","15,326","4,600"
classrooms,,,,,
Cleveland District State High School -,301,"1,978","1,507",471,
Refurbish auditorium building,,,,,
Clifton State High School - Amenities,307,"2,728",558,"1,642",528
upgrades,,,,,
Collinsville State High School - Refurbish,312,559,301,258,
learning space,,,,,
Coorparoo State School - Refurbish learning,303,774,,774,
space,,,,,
Cranbrook State School - Refurbish learning,318,344,34,310,
space,,,,,
Cunnamulla P-12 State School - Amenities,315,640,,640,
upgrades,,,,,
Currimundi State School - Refurbish learning,316,860,,860,
space,,,,,
,34,,,,
Capital Statement 2024–25,,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
Darling Point Special School - Additional,301,"27,600","19,911","7,689",
classrooms,,,,,
Deception Bay State High School - Additional,313,"10,839","6,326","4,513",
classrooms,,,,,
Discrete communities renewal,Various,"36,680","10,303","14,239","12,138"
Everleigh State School - New primary school,311,"54,813","44,916","6,144","3,753"
Flood Resilience,Various,"50,000",750,"5,950","43,300"
Gatton State School - Security fence,307,930,,930,
General and minor works - Early Childhood,Various,,,"29,156",Ongoing
Education and Care ¹,,,,,
General and Minor Works - Education,Various,,,"143,882",Ongoing
Gladstone Central State School - New hall,308,"13,500","11,700","1,800",
facility,,,,,
Gladstone State High School - Additional,308,"22,500","4,304","12,196","6,000"
specialist classrooms,,,,,
Go for Gold (School Sports Infrastructure),Various,"71,503","4,715","29,250","37,538"
Goondiwindi State High School - Additional,307,673,420,253,
specialist classrooms,,,,,
Gordonvale State High School - Security,306,"1,116",,"1,116",
fence,,,,,
Greenlands State School - Upgrade water,307,275,,275,
reticulation,,,,,
Griffin State School - Additional classrooms,314,"22,990","3,284","16,935","2,771"
Growth projects in Brisbane and Redlands,Various,"179,735","11,202","96,230","72,303"
Growth projects in Central Queensland,308,"17,783","2,864","10,101","4,818"
Growth Projects in Darling Downs - Maranoa,307,"1,670",,835,835
Growth projects in Far North Queensland,306,"13,630","1,273","8,847","3,510"
Growth projects in Gold Coast,309,"65,729","1,958","43,000","20,771"
Growth projects in Ipswich,310,"124,451","4,601","42,511","77,339"
Growth projects in Logan,311,"36,001",933,"18,162","16,906"
Growth projects in Moreton Bay,Various,"20,204","1,777","14,967","3,460"
Growth projects in Queensland Outback,315,"14,385",438,"3,188","10,759"
Growth Projects in Sunshine Coast,316,"2,250",,"1,125","1,125"
Growth projects in Wide Bay,319,"14,975","1,079","5,475","8,421"
Hall projects in Brisbane and Redlands,Various,"49,308",437,"9,425","39,446"
Hall projects in Darling Downs - Maranoa,307,"20,792",360,"7,354","13,078"
Hall projects in Far North Queensland,306,"11,632",299,"3,510","7,823"
Hall projects in Gold Coast,309,"9,977",177,"3,527","6,273"
,35,,,,
Capital Statement 2024–25,,,,,
,Education,,,,
,Statistical,Total,Expenditure,Budget,Post
,Area,Estimated,to,2024-25,2024-25
Project,,,,,
,,Cost,30-06-24,,
,,$'000,$'000,$'000,$'000
Hall projects in Ipswich,310,"16,702",322,"5,400","10,980"
Hall projects in Logan,311,"34,571",416,"12,331","21,824"
Hall projects in Mackay - Whitsunday,312,"17,226",180,"4,515","12,531"
Hall projects in Townsville,318,"31,685","1,118","14,307","16,260"
Happy Valley State School - Security fence,315,930,,930,
Hilder Road State School - Security fence,304,930,,930,
Hopevale Campus of Cape York Aboriginal,315,"1,462",,"1,462",
Australian Academy - Refurbish learning,,,,,
space,,,,,
Indooroopilly State High School - Security,304,"1,209",,"1,209",
fence,,,,,
Indooroopilly State School - Administration,304,"22,045",604,"6,885","14,556"
upgrades,,,,,
Indooroopilly State School - Site renewal,304,440,80,360,
Inglewood State School - Additional specialist,307,741,401,340,
classrooms,,,,,
Ipswich East State School - Security fence,310,930,,930,
Ipswich State High School - Amenities,310,840,,840,
upgrades,,,,,
James Nash State High School - Security,319,"1,116",,"1,116",
fence,,,,,
Kalbar State School - Amenities upgrades,310,320,12,308,
Kenmore South State School - Additional,304,"14,286","7,777","6,509",
classrooms,,,,,
Kepnock State High School - Additional,319,"14,850","7,764","3,000","4,086"
specialist classrooms,,,,,
Kilcoy State High School - New hall facility,313,"10,835","8,855","1,980",
Kilkivan State School - Covered area over,319,849,428,421,
courts,,,,,
Koumala State School - Amenities upgrades,312,731,,731,
Land acquisition,Various,,,"144,225",Ongoing
Laura State School - Amenities upgrades,315,360,60,300,
Lockyer District State High School - Security,307,"1,116",,"1,116",
fence,,,,,
Marburg State School - Amenities upgrades,310,560,,560,
Miami State School - Site renewal,309,360,,360,
