Portfolio,Agency,Asset Type,Header 1,Header 2,Header 3,Project Name,SA4 Name,Total Estimated Cost,Expenditure to 30-06-24,Budget 2024-25,Post 2024-25,Latitude,Longitude
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Assets formerly held by Queensland Agricultural Training Colleges,Central Queensland,"5,850","1,621","3,984",245,-23.52284,148.1843
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Gatton Smart Farm,Toowoomba,"2,000",642,"1,358",N/A,-27.54435,152.33115
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Minor works ,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,422,Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Heavy plant and equipment,"Brisbane - East,Cairns,Central Queensland,Toowoomba,Logan - Beaudesert,Sunshine Coast,Wide Bay,Townsville,Mackay - Isaac - Whitsunday,Darling Downs - Maranoa,Ipswich,Brisbane - South",N/A,N/A,"2,048",Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,"Other property, plant and equipment","Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,892,Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Computer equipment ,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"5,077",Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Vessels and marine equipment,"Mackay - Isaac - Whitsunday,Townsville,Gold Coast",N/A,N/A,257,Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Scientific equipment ,"Cairns,Darling Downs - Maranoa,Toowoomba,Sunshine Coast,Mackay - Isaac - Whitsunday,Brisbane - South,Moreton Bay - North",N/A,N/A,"1,680",Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Research facilities development,"Toowoomba,Sunshine Coast,Wide Bay,Brisbane - East,Cairns,Townsville,Darling Downs - Maranoa,Moreton Bay - North",N/A,N/A,216,Ongoing,,
Agriculture and Fisheries,Department of Agriculture and Fisheries,"Property, Plant and Equipment",,,,Longreach Office Upgrade,Queensland - Outback,"1,756","1,616",140,N/A,-23.44349,144.28491
