District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
South Coast,Gold Coast City,National,2352560,"Pacific Motorway, Exit 45 (North) Ormeau, business case",1500000,1500000,750000,750000,0,0,0,750000,750000,750000,750000,0,0,,,1,-27.807015,153.265602
South Coast,Gold Coast City,National,1176064,"Pacific Motorway, Exit 49, upgrade interchange",57001084,140767901,55231500,85231500,304901,83766817,27001084,30000000,0,0,0,0,0,Funding contributions subject to further consideration and negotiation with the Australian Government.,https://www.tmr.qld.gov.au/projects/pacific-motorway-exit-49-upgrade-interchange,1,-27.820765,153.2897
South Coast,Gold Coast City,National,852582,"Pacific Motorway, Varsity Lakes (Exit 85) to Tugun (Exit 95) upgrade",439200792,1500000000,750000000,750000000,0,1044616708,165000000,120000000,154200792,154200792,114884254,39316538,16182500,,https://www.tmr.qld.gov.au/projects/pacific-motorway-m1-varsity-lakes-to-tugun-upgrade,1,-28.114216,153.441401
South Coast,Gold Coast City,State,2754279,"Beaudesert - Nerang Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1807058,2971638,2228729,742909,0,1164580,1807058,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.974628,153.254948
South Coast,Gold Coast City,State,3020360,"Beaudesert - Nerang Road, Billabirra Crescent to Oak Street, construct shared paths",800000,1500000,750000,750000,0,700000,800000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.99355,153.32442
South Coast,Gold Coast City,State,2769345,"Beechmont Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",2748134,5496268,4122202,1374066,0,2748134,2748134,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.058829,153.240852
South Coast,Gold Coast City,State,3109727,"Beechmont Road, 2023 Disaster Recovery Funding Arrangements reconstruction works",4736675,4736675,3552506,1184169,0,0,4004351,732324,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.024374,153.260239
South Coast,Gold Coast City,State,3055682,"Burleigh Connection Road and Varsity Lakes Train station, bus infrastructure upgrades",12943000,12993000,0,12993000,0,50000,649000,8643128,3650872,3650872,3650872,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-28.098999,153.441996
South Coast,Gold Coast City,State,1776678,"Coomera Connector (Stage 1), Coomera to Nerang",1804681851,3026000000,1513000000,1513000000,0,821018149,650000000,650000000,504681851,504681851,229281851,275400000,400300000,,https://www.tmr.qld.gov.au/projects/coomera-connector-stage-1,1,-27.93201,153.33901
South Coast,Gold Coast City,State,2754277,"Currumbin Creek - Tomewin Road (Part A), 2022 Disaster Recovery Funding Arrangements reconstruction works",3437038,5872494,4404371,1468123,0,2435456,2385775,1051263,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.21052,153.405908
South Coast,Gold Coast City,State,2754282,"Currumbin Creek - Tomewin Road, 2022 Disaster Recovery Funding Arrangements betterment works",550374,1100749,550375,550374,0,550375,550374,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.21052,153.405908
South Coast,Gold Coast City,State,1776744,"Currumbin Creek Road and Bienvenue Drive, upgrade intersection",9012166,10000000,2000000,8000000,0,987834,3012166,4000000,2000000,2000000,2000000,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. Funding splits under negotiation.",https://www.tmr.qld.gov.au/projects/currumbin-creek-road-bienvenue-drive-intersection-upgrade,1,-28.153814,153.469755
South Coast,Gold Coast City,State,3048531,"Currumbin Creek Road and Stewart Road (Currumbin), improve intersection",1835000,1835000,0,1835000,0,0,200000,1335000,300000,300000,300000,0,0,,,1,-28.146403,153.471335
South Coast,Gold Coast City,State,2669652,"Currumbin Creek Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",11000377,28058051,21043538,7014513,0,17057674,9671918,1328459,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.172258,153.432958
South Coast,Gold Coast City,State,1765284,"Gold Coast Highway (Broadbeach - Coolangatta), Currumbin Creek cycleway, planning",450000,2150000,0,2150000,0,1700000,450000,0,0,0,0,0,0,,,1,-28.129631,153.478558
South Coast,Gold Coast City,State,938148,"Gold Coast Light Rail (Stage 3), Broadbeach South to Burleigh Heads",553438000,1219000000,395600000,713300000,110100000,665036000,308167000,162103000,83168000,83168000,60427000,22741000,526000,This project is being delivered as a Public Private Partnership.,https://www.tmr.qld.gov.au/projects/gold-coast-light-rail,1,-28.065438,153.438945
